title,name,body,tag,rating1,rating2,rating3,rating4
"Race, Ideology, and the Communicative Theory of Punishment",Steven Swartzer,"This paper explores communicative punishment from a non-idealized perspective. I argue that, given the specific racial dynamics involved, and given the broader social and historical context in which they are embedded, American policing and punishment function as a form of racially derogatory discourse. Understood as communicative behavior, criminal justice activities express a commitment to a broader ideology. Given the facts about how the American justice system actually operates, and given its broader socio-political context, American carceral behaviors express a commitment to the same types of derogatory, subordinating anti-minority ideologies that are paradigmatically conveyed through racial slurs and similar forms of derogatory speech. Moreover, I argue, this derogatory meaning presents a significant obstacle to adequate criminal justice reform.",ethics,,,,
Contextualism about Justified Belief,Ralph Wedgwood,"This paper presents a new argument for a form of contextualism about 'justified belief', the argument being based on considerations concerning the nature of belief. It is then argued that this form of contextualism, although it is true, cannot help to answer the threat of scepticism. However, it can explain many other puzzling phenomena: it can give an account of the linguistic mechanisms that determine how the extension of 'justified belief' shifts with context; it can help to defuse some puzzles regarding the closure of justified belief under competent deduction; and it can give a plausible account of the role that practical concerns play in the thinking of a rational believer, allowing for a more plausible kind of ""intellectualism"" about justified belief.",epistemology,,,,
The Dear Self,Harry Frankfurt,"Frankfurt argues that self-love is the purest and -- paradoxically, perhaps -- most disinterested form of love.",,,,,
Norms of Belief and Norms of Assertion in Aesthetics,Jon Robson,"Why is it that we cannot legitimately make certain aesthetic assertions – for instance that ‘Guernica is harrowing’ or that ‘The Rite of Spring is strangely beautiful’ – on the basis of testimony alone? In this paper I consider a species of argument intended to demonstrate that the best explanation for the impermissibility of such assertions is that a particular view of the norms of aesthetic belief – pessimism concerning aesthetic testimony – is correct. I begin by outlining the strongest instance of such ‘arguments from assertion’ and demonstrating that it presents a powerful motivation for embracing pessimism; the view that it is illegitimate to form aesthetic beliefs on the basis of testimony alone. I then go on to argue that, appearances notwithstanding, the pessimist’s opponents – optimists concerning aesthetic testimony – are able to provide an explanation for the impermissibility of these assertions which is at least as good as, and in some respects better than, that offered by their pessimist. The explanation I propose draws on some important work on signalling in aesthetics, by Denis Dutton and others, to argue that the problem with such assertions is closely parallel to the problem Dutton claims is generated by forgeries. Those making such assertions misrepresent a piece of aesthetic labour (in this case a critical judgement) as their own, when, in fact, it is the work of another. I also explore the wider implications of this view for debates in aesthetic epistemology and beyond.",,,,,
Self-Knowledge and the Phenomenological Transparency of Belief,Markos Valaris,"I develop an account of our capacity to know what we consciously believe, which is based on an account of the phenomenology of conscious belief. While other recent authors have suggested that phenomenally conscious states play a role in the epistemology of self-ascriptions of belief, they have failed to give a satisfying account of how exactly the phenomenology is supposed to help with the epistemology — i.e., an account of the way “what it is like” for the subject of a conscious belief makes it rational, for her, to self-ascribe that belief. I argue that an account according to which the phenomenology of belief is transparent — i.e., such that in having a conscious belief one is aware of the world as being a certain way, rather than of anything distinctively mental — is adequate to this task.",,,,,
Logically Simple Properties and Relations,Jan Plate,"This paper presents an account of what it is for a property or relation (or ‘attribute’ for short) to be logically simple. Based on this account, it is shown, among other things, that the logically simple attributes are in at least one important way sparse. This in turn lends support to the view that the concept of a logically simple attribute can be regarded as a promising substitute for Lewis’s concept of a perfectly natural attribute. At least in part, the advantage of using the former concept lies in the fact that it is amenable to analysis, where that analysis—i. e., the account put forward in this paper—requires the adoption neither of an Armstrongian theory of universals nor of a primitive notion of naturalness, fundamentality, or grounding.",,,,,
Reason in its Practical Application,E. Sonny Elizondo,"Is practical reason a cognitive faculty? Do practical judgments make claims about a subject matter that are appropriately assessed in terms of their agreement with that subject matter? According to Kantians like Christine Korsgaard, the answer is no. To think otherwise is to conflate the theoretical and the practical, the epistemic and the ethical. I am not convinced. In this paper, I motivate my skepticism through examination of the very figure who inspires Korsgaard's rejection of cognitivism: Kant. For as I read him, Kant does not construe the distinction between theoretical and practical reason in terms of a distinction between cognitive and non-cognitive faculties but in terms of two distinct applications of a single faculty of reason, which is through-and-through cognitive. Thus, practical, no less than theoretical, reason cognizes a subject matter, and so practical, no less than theoretical, reason is straightforwardly subject to familiar epistemic standards of truth, warrant, and knowledge. Of course, even if I am right about Kant, this does not show that Korsgaard is wrong about reason; and I will offer no direct argument against her position here. Nonetheless, I believe that reflection on Kant's true view, with its careful treatment of and respect for both the practicality and rationality of reason, should perhaps lead us to rethink what it means to be a rationalist in ethics.",,,,,
Thick Concepts and Variability,Pekka Väyrynen,"Some philosophers hold that so-called ""thick"" terms and concepts in ethics (such as 'cruel,' 'selfish,' 'courageous,' and 'generous') are contextually variable with respect to the valence (positive or negative) of the evaluations that they may be used to convey. Some of these philosophers use this variability claim to argue that thick terms and concepts are not inherently evaluative in meaning; rather their use conveys evaluations as a broadly pragmatic matter. I argue that one sort of putative examples of contextual variability in evaluative valence that are found in the literature fail to support the variability claim and that another sort of putative examples are open to a wide range of explanations that have different implications for the relationship between thick terms and concepts and evaluation. I conclude that considerations of contextual variability fail to settle whether thick terms and concepts are inherently evaluative in meaning. In closing I suggest a more promising line of research.",,,,,
"Thoroughly Modern McTaggart: Or, What McTaggart Would Have Said if He Had Read the General Theory of Relativity",John Earman,The philosophical literature on time and change is fixated on the issue of whether the B-series account of change is adequate or whether real change requires Becoming of either the property-based variety of McTaggart's A-series or the non-property-based form embodied in C. D. Broad's idea of the piling up of successive layers of existence. For present purposes it is assumed that the B-series suffices to ground real change. But then it is noted that modern science in the guise of Einstein's general theory poses a threat to real change by implying that none of the genuine physical magnitudes countenanced by the theory changes its value with time. The aims of this paper are to explain how this seemingly paradoxical conclusion arises and to assess the merits and demerits of possible reactions to it.,,,,,
Rigid Designation and Semantic Structure,Arthur Sullivan,"There is a considerable sub-literature, stretching back over 35 years, addressed to the question: Precisely which general terms ought to be classified as rigid designators? More fundamentally: What should we take the criterion for rigidity to be, for general terms? The aim of this paper is to give new grounds for the old view that if a general term designates the same kind in all possible worlds, then it should be classified as a rigid designator. The new grounds in question have to do with excavating the connection between rigid designation and semantic structure. Other original contributions of the present work consist in developing responses to some objections to this approach to rigid designation.",,,,,
Bishop Butler on Forgiveness and Resentment,Ernesto V. Garcia,"On the traditional view, Butler maintains that forgiveness involves a kind of “conversion experience” in which we must forswear or let go of our resentment against wrongdoers. Against this reading, I argue that Butler never demands that we forswear resentment but only that we be resentful in the right kind of way. That is, he insists that we should be virtuously resentful, avoiding both too much resentment exhibited by the vices of malice and revenge and too little resentment where we merely condone the wrongdoer and leave ourselves open to future injury. I argue that this Butlerian approach offers us a more attractive account of forgiveness as a “virtue” than many recent discussions. In the final section, I address Butler’s challenging thesis that forgiveness is an unconditional moral duty. I argue against those who claim that forgiveness is supererogatory (Kolnai/Calhoun) or else merely morally conditional and even morally blameworthy in some cases (Murphy/Hampton/Novitz/Richards). By contrast, I defend a context-sensitive account of forgiveness which recognizes that it takes place on many different levels. I conclude by taking up the difficult issue of whether anybody can be ultimately “unforgivable”, offering some Butlerian and Strawsonian reflections that might help mitigate our judgments about such matters.",,,,,
"Inner Sense, Self-Affection, and Temporal Consciousness in Kant's Critique of Pure Reason",Markos Valaris,"In §24 of the Transcendental Deduction, Kant remarks that his account of the capacity of the understanding to spontaneously determine sensibility explains how empirical self-knowledge is possible through inner-sense. Although most commentators consider Kant's conception of empirical self-knowledge through inner sense to be either a failure or at least drastically under-developed, I argue that (just as Kant claims) his account of the capacity of the understanding to determine sensibility - the ""productive imagination"" - can ground an attractive account of self-knowledge. The account of inner sense I propose, however, may seem to conflict with some of Kant's views on time. I close the paper by arguing that the apparent conflict is not a fault specific to my account of inner sense, but rather indicative of a deeper tension, internal to Kant's views on time.",,,,,
Avicenna's Emanated Abstraction,Stephen R. Ogden,"One of the largest ongoing debates in scholarship on Avicenna (Ibn Sīnā) concerns his epistemology of the first acquisition of intelligible forms or concepts. “Emanationists” hold that intelligibles are emanated by the separate Active Intellect (AI) directly into human minds. “Abstractionists” hold that intelligibles are abstracted by the human intellect from sensory images. Neither of these positions has a satisfactory grip on Avicenna’s philosophy. I propose that the two positions can be reconciled because Avicenna states in many texts that what the AI emanates is a power, and not the various intelligible forms. I argue that this can only be the power of abstraction itself. This new interpretation does greater justice to Avicenna’s system and reveals his unique place in the history of epistemology.",,,,,
The Arts of Action,C. Thi Nguyen,"The theory and culture of the arts has largely focused on the arts of objects, and neglected the arts of action – or, as I call them, the “process arts”. In the process arts, artists create artifacts to engender activity in their audience, for the sake of the audience’s aesthetic appreciation of their own activity. This includes appreciating their own deliberations, choices, reactions, and movements. The process arts include games, urban planning, improvised social dance, cooking, and social food rituals. In the traditional object arts, the central aesthetic properties occur in the artistic artifact itself. It is the painting that is beautiful; the novel that is dramatic. In the process arts, the aesthetic properties occur in the activity of the appreciator. It is the game player’s own decisions that are elegant, the rock climber’s own movement that is graceful, and the tango dancers’ rapport that is beautiful. The artifact’s role is to call forth and shape that activity, guiding it along aesthetic lines. I offer a theory of the process arts. Crucially, we must distinguish between the designed artifact and the prescribed focus of aesthetic appreciation. In the object arts, these are one and the same. The designed artifact is the painting, which is also the prescribed focus of appreciation. In the process arts, they are different. The designed artifact is the game, but the appreciator is prescribed to appreciate their own activity in playing the game. Next, I address the complex question of who the artist really is in a piece of process art — the designer or the active appreciator? Finally, I diagnose the lowly status of the process arts.",,,,,
Fictions of Systematicity: Maimon's Quest for a Scientific Method in Philosophy,Jelscha Schmid,"This paper argues that Maimon’s metaphilosophy presents a distinctive view on what the scientific role and method of philosophy should consist in: in the production of fictions of systematicity. It shows how Maimon’s philosophy of science links to metaphilosophical views, and ultimately leads him to adopt the so-called “method of fictions” to transform philosophy into a proper science. By connecting his remarks on scientific fictions and their methodological role with Kant’s doctrine of regulative ideas and the latter’s conception of systematicity, the paper develops a systematic account of the method of fictions, its employment in theoretical philosophy and the scientific image resulting from this view.",,,,,
Deontic Modality and the Semantics of Choice,Melissa Fusco,"I propose a unified solution to two puzzles: Ross's puzzle (the apparent failure of 'ought φ' to entail 'ought [φ or ψ]') and free choice permission (the apparent fact that 'may [φ or ψ]' entails both 'may φ' and 'may ψ'). I begin with a pair of cases from the decision theory literature illustrating the phenomenon of act dependence, where what an agent ought to do depends on what she does. The notion of permissibility distilled from these cases forms the basis for my analysis of 'may' and 'ought'. This framework is then combined with a generalization of the classical semantics for disjunction — equivalent to Boolean disjunction on the diagonal, but with a different two-dimensional character — that explains the puzzling facts in terms of semantic consequence.",,,,,
The Dynamics of Non-Being,Bradford Skow,"Maybe there is something rather than nothing because the nothingness force acted on itself, and when the nothing nothings itself it produces something. Robert Nozick suggested this as a candidate explanation of the fact that there is something rather than nothing. If he is right that it is a candidate explanation, we should pay attention: there are not many candidates out there. But his ""explanation"" looks, instead, like a paradigm case of philosophical nonsense. In this paper I describe a ""metaphysical dynamics"" that makes sense out of Nozick's apparent nonsense.",,,,,
The Value of Thinking and the Normativity of Logic,Manish Oza,"I. This paper is about how to build an account of the normativity of logic around the claim that logic is constitutive of thinking. I take the claim that logicis constitutive of thinking to mean that representational activity must tend to conform to logic to count as thinking. II. I develop a natural line of thought about how to develop the constitutive position into an account of logical normativity by drawing on constitutivism in metaethics. III. I argue that, while this line of thought provides some insights, it is importantly incomplete, as it is unable to explain why we should think. I consider two attempts at rescuing the line of thought. The first, unsuccessful response is that it is self-defeating to ask why we ought to think. The second response is that we need to think. But this response secures normativity only if thinking has some connection to human flourishing. IV. I argue that thinking is necessary for human flourishing. Logic is normative because it is constitutive of this good. V. I show that the resulting account deals nicely with problems that vex other accounts of logical normativity.",,,,,
The Possibility of Choice: Three Accounts of the Problem with Coercion,Japa Pallikkathayil,"There is a strong moral presumption against the use of coercion, and those who are coerced seem to be less responsible for the actions they were coerced to perform. Both these considerations seem to reflect the effect of coercion on the victim’s choice. This paper examines three ways of understanding this effect. First, I argue against understanding victims as unable to engage in genuine action. Next, I consider the suggestion that victims are unable to consent to participate in the coercer’s plan. Although this suggestion is promising, I argue that the inability to consent reflects a more basic problem. Victims are unable to exercise what I call ‘normative authority’: they are unable to make discretionary changes in the permissions and obligations that they and others have. This final account yields a compelling understanding of why coercion is impermissible when it is and reveals a unique way in which impermissible coercion affects the responsibility of victims.",,,,,
Physically Contingent Laws and Counterfactual Support,Michael Strevens,"The generalizations found in biology, psychology, sociology, and other high-level sciences are typically physically contingent. You might conclude that they play only a limited role in scientific investigation, on the grounds that physically contingent generalizations offer no or only feeble counterfactual support. But the link between contingency and counterfactual support is more complex than is commonly supposed. A certain class of physically contingent generalizations, comprising many, perhaps the vast majority, of those in the high-level sciences, provides strong counterfactual support of just the sort that appears to be scientifically important. This paper explains why.",,,,,
Kant on Animal Consciousness,Colin McLear,"Kant is often considered to have argued that perceptual awareness of objects in one's environment depends on the subject's possession of conceptual capacities. This conceptualist interpretation raises an immediate problem concerning the nature of perceptual awareness in non-rational, non-concept using animals. In this paper I argue that Kant’s claims concerning animal representation and consciousness do not foreclose the possibility of attributing to animals the capacity for objective perceptual consciousness, and that a non-conceptualist interpretation of Kant’s position concerning perceptual awareness can actively endorse this attribution. Kant can consistently allow that animals have a point of view on the objective world which possesses a distinctive phenomenal character while denying what seems most important to him – viz. that animals have the capacity to take cognitive attitudes towards, and thus self-ascribe, their own representational states.",,,,,
A Minimal Characterization of Indeterminacy,David E. Taylor,"The current literature on indeterminacy centers around two (related) projects. One concerns the logic of indeterminacy; the other concerns its nature or source. The aim of this paper is to introduce, motivate and go some way toward addressing a new, third project: that of providing what I call a minimal characterization (MC) of indeterminacy. An MC, to a first approximation, is a relatively pre-theoretical characterization of indeterminacy that is neutral between the various substantive theories of the nature and logic of indeterminacy. An MC thus captures a generic sense of indeterminacy that, at least in principle, is recognized by all parties to the debate over the phenomenon’s underlying nature and logic. I begin by introducing the concept of an MC and outlining some of the main theoretical virtues of providing an MC. I then establish some desiderata on a suitable MC, and use these desiderata to rule out various initially attractive proposals. In the final part of the paper I sketch the beginnings of my own MC and defend it against objections.",,,,,
From Biological Functions to Natural Goodness,Parisa Moosavi,"Neo-Aristotelian ethical naturalism aims to place moral virtue in the natural world by showing that moral goodness is an instance of natural goodness—a kind of goodness supposedly also found in the biological realm of plants and non-human animals. One of the central issues facing neo-Aristotelian naturalists concerns their commitment to a kind of function ascription based on the concept of the flourishing of an organism that seems to have no place in modern biology. In this paper, I offer a novel defense of this functional commitment by appealing to the organizational account of biological function. I argue that the flourishing-based concept of function that forms the basis of the neo-Aristotelian account of natural goodness is explanatorily indispensable to biology, and therefore essential to the understanding of living things.",,,,,
Rational Delay,Abelard Podgorski,"Finite agents such as human beings have reasoning and updating processes that are extended in time; consequently, there is always some lag between the point at which we gain new reasons and the point at which our attitudes have fully responded to those reasons. This phenomenon, which I call rational delay, poses a threat to the most common ways of formulating rational requirements on our attitudes, which do not allow rational beings to exhibit such delay. In this paper, I show first how this problem undermines synchronic formulations of rational norms. Then I show how it likewise undermines the most natural diachronic modifications of these norms. Ultimately, I argue that a successful account of rational delay will reject norms that directly govern attitudes or states of mind like belief and intention altogether, in favor of norms that fundamentally concern temporally extended rational processes like deliberation.",,,,,
Kant on Misology and the Natural Dialectic,John J. Callanan,"Towards the conclusion of the First Section of the Groundwork of the Metaphysics of Morals, Kant describes a process whereby a subject can undergo a kind of moral corruption. This process, which he calls a “natural dialectic”, can cause one to undermine one’s own or¬dinary grasp of the demands of morality. Kant also claims that this natural dialectic is the basis of the need for moral philosophy itself, since first-order moral reasoning is insufficient to protect against it. I show that this passage is closely related to another in the First Section, one where Kant warns against the threat of “misology”, or the hatred of reason. I argue that both these passages must be read as engaging with specific claims from Rousseau’s writings. Uncovering the historical context and rhetorical function of Kant’s account of moral self-deception can re-orient the reader to his ambitions for the Groundwork itself.",,,,,
The Shapelessness Hypothesis,Simon Kirchin,"In this paper I discuss the shapelessnesss hypothesis, which is often referred to and relied on by certain sorts of ethical and evaluative cognitivist, and which they use primarily in arguing against a certain, influential form of noncognitivism. I aim to (i) set out exactly what the hypothesis is; (ii) show that its original and traditional use is left wanting; and (iii) show that there is some rehabilitation on offer that might have a chance of convincing neutrals.",,,,,
Hobbes's Laws of Nature in Leviathan as a Synthetic Demonstration: Thought Experiments and Knowing the Causes,Marcus P. Adams,"The status of the laws of nature in Hobbes’s Leviathan has been a continual point of disagreement among scholars. Many agree that since Hobbes claims that civil philosophy is a science, the answer lies in an understanding of the nature of Hobbesian science more generally. In this paper, I argue that Hobbes’s view of the construction of geometrical figures sheds light upon the status of the laws of nature. In short, I claim that the laws play the same role as the component parts – what Hobbes calls the “cause” – of geometrical figures. To make this argument, I show that in both geometry and civil philosophy, Hobbes proceeds by a method of synthetic demonstration as follows: 1) offering a thought experiment by privation; 2) providing definitions by explication of “simple conceptions” within the thought experiment; and 3) formulating generative definitions by making use of those definitions by explication. In just the same way that Hobbes says that the geometer should “put together” the parts of a square to learn its cause, I argue that the laws of nature are the cause of peace.",,,,,
"I Ought, Therefore I Can Obey",Peter B. M. Vranas,"According to typical ought-implies-can principles, if you have an obligation to vaccinate me tomorrow, then you can vaccinate me tomorrow. Such principles are uninformative about conditional obligations: what if you only have an obligation to vaccinate me tomorrow if you synthesize a vaccine today? Then maybe you cannot vaccinate me tomorrow (e.g., because you cannot synthesize a vaccine); what you can do instead, I propose, is make it the case that the conditional obligation is not violated (i.e., that you do not both synthesize a vaccine today and fail to vaccinate me tomorrow). More generally, I propose the ought-implies-can-obey principle: an agent has an obligation only at times at which the agent can obey the obligation (i.e., can make it the case that the obligation is not violated). I also propose another principle, which captures the idea that ‘ought’ implies ‘can avoid’. I defend both principles mainly by arguing that they help explain why agents lose (i.e., stop having) obligations, including conditional ones.",,,,,
The Most Dangerous Error: Malebranche on the Experience of Causation,Colin Chamberlain,"Do the senses represent causation? Many commentators read Nicolas Malebranche as anticipating David Hume’s negative answer to this question. I disagree with this assessment. When a yellow billiard ball strikes a red billiard ball, Malebranche holds that we see the yellow ball as causing the red ball to move. Given Malebranche’s occasionalism, he insists that the visual experience of causal interaction is illusory. Nevertheless, Malebranche holds that the senses (mis)represent finite things as causally efficacious. This experience of creaturely causality explains why Aristotelian philosophers and others struggle to recognize occasionalism’s truth.",,,,,
Conway’s Ontological Objection to Cartesian Dualism,John Grey,"Anne Conway disagrees with substance dualism, the thesis that minds and bodies differ in nature or essence. Instead, she holds that “the distinction between spirit and body is only modal and incremental, not essential and substantial” (CP 6.11, 40). Yet several of her arguments against dualism have little force against the Cartesian, since they rely on premises no Cartesian would accept. In this paper, I show that Conway does have at least one powerful objection to substance dualism, drawn from premises that Descartes seems bound to accept. She argues that two substances differ in nature only if they differ in their “original and peculiar” cause (CP 6.4, 30); yet all created substances have the same original and peculiar cause; so, all created substances have the same nature. As I argue, the Cartesian is under a surprising amount of pressure to accept Conway’s argument, since its key premise is motivated by a conception of substance similar to one endorsed by Descartes in his Principles of Philosophy.",,,,,
"Iterated Modalities, Meaning and A Priori Knowledge",Dominic Gregory,"Recent work on the philosophy of modality has tended to pass over questions about iterated modalities in favour of constructing ambitious metaphysical theories of possibility and necessity, despite the central importance of the iterated modalities to modal logic. Yet there are numerous unresolved but fundamental issues involving iterated modalities: Chandler and Salmon have provided forceful arguments against the widespread assumption that all necessary truths are necessarily necessary, for example. The current paper examines a range of ways in which one might seek to identify limited regions within which some of the most well-known principles featuring iterated modalities may safely be assumed.",,,,,
Epistemology from an Evaluativist Perspective,Hartry Field,"The paper presents a kind of normative anti-realist view of epistemology, in the same ballpark as recent versions of expressivism. But the primary focus of the paper is less on this meta-epistemological view itself than on how it should affect ground-level issues in epistemology: for instance, how it should deal with certain forms of skepticism, and how it allows for fundamental revision in epistemic practices (deductive, inductive and perceptual). It is hoped that these methodological consequences will seem attractive independent of the normative anti-realism. Indeed, some normative realists seem to embrace the view on skepticism, but it is argued that their position is unstable: the realism undermines the methodology. The general theme of the paper is that the issue of normative realism is deeply entwined with issues of methodology, in strong contrast to the common claim that meta-epistemological views in the tradition of expressivism have no first order impact.",,,,,
There Can Be No Turing-Test-Passing Memorizing Machines,Stuart M. Shieber,"Anti-behaviorist arguments against the validity of the Turing Test as a sufficient condition for attributing intelligence are based on a memorizing machine, which has recorded within it responses to every possible Turing Test interaction of up to a fixed length. The mere possibility of such a machine is claimed to be enough to invalidate the Turing Test. I consider the nomological possibility of memorizing machines, and how long a Turing Test they can pass. I replicate my previous analysis of this critical Turing Test length based on the age of the universe, show how considerations of communication time shorten that estimate and allow eliminating the sole remaining contingent assumption, and argue that the bound is so short that it is incompatible with the very notion of the Turing Test. I conclude that the memorizing machine objection to the Turing Test as a sufficient condition for attributing intelligence is invalid.",,,,,
MAKING Metaphysics,Thomas Byrne,"We can cause windows to break and we can break windows; we can cause villages to flood and we can flood villages; and we can cause chocolate to melt and we can melt chocolate. Each time these can come apart: if, for example, A merely instructs B to break the window, then A causes the window to break without breaking it herself. Each instance of A breaking/flooding/melting/burning/killing/etc. something, is an instance of what I call making. I argue that making is an independent, theoretically important notion—akin but irreducible to causing—and metaphysicians should pay attention to it.",,,,,
Belief Is Credence One (In Context),Roger Clarke,"This paper argues for two theses: (a) that degrees of belief are context sensitive; (b) that outright belief is belief to degree 1. The latter thesis is rejected quickly in most discussions of the relationship between credence and belief, but the former thesis undermines the usual reasons for doing so. Furthermore, identifying belief with credence 1 allows nice solutions to a number of problems for the most widely-held view of the relationship between credence and belief, the threshold view. I provide a sketch of a formal framework on which both theses are true. This is a modiﬁed Bayesian framework; I argue that despite making credences context-sensitive, the framework lets Bayesians hold on to their signature explanatory successes. The sort of context-sensitivity claimed for credences here mirrors the sort of context-sensitivity I have elsewhere claimed for outright belief: one’s credences depend, in part, on the space of alternative possibilities one takes seriously in a context.",,,,,
Directed Duties and Moral Repair,Julian Jonker,"Many moral duties are directed: if J promises S that J will phi, then J owes it to S to phi. What does directedness add to a duty? One way to answer this question is by understanding the practical difference made by directedness, and the importance of acknowledging that difference. What practical difference does it make that a duty is directed? If J owes it to S to phi then S has special standing in our practice of accountability and moral repair. In particular, S is the proper recipient of apology and redress, and S has the power to forgive J. This is a more illuminating version of the common suggestions that S has special standing to blame J for not phiing, or to demand that J phi, or to claim J’s phiing. Why then does directedness matter? A practice of accountability that gives special standing to S makes available a distinctive form of recognition that comes as close as is possible to repairing the original wrongdoing. Without directed duties, we would stand to lose this form of moral repair, and to lose sight of the interest that human beings have in recognition. The interest in recognition can itself be vindicated in Strawsonian fashion. Also, recognition is a component of respect, and so we can make sense of Feinberg's claim that there is a connection between respect and directedness.",,,,,
The Relation between Conception and Causation in Spinoza’s Metaphysics,John Morrison,"Conception and causation are fundamental notions in Spinoza's metaphysics. I argue against the orthodox view that, due to the causal axiom, if one thing is conceived through another thing, then the second thing causes the first thing. My conclusion forces us to rethink Spinoza's entitlement to some of his core commitments, including the principle of sufficient reason, the parallelism doctrine and the conatus doctrine.",,,,,
Realism and Reduction: the Quest for Robustness,Mark Schroeder,"It doesn't seem possible to be a realist about the traditional Christian God while claiming to be able to reduce God talk in naturalistically acceptable terms. Reduction, in this case, seems obviously eliminativist. Many philosophers seem to think that the same is true of the normative-that reductive ""realists"" about the normative are not really realists about the normative at all, or at least, only in some attenuated sense. This paper takes on the challenge of articulating what it is that makes reductive theological realism look hopeless, with the aim of explaining why we should think that the normative is relevantly different. Although it follows from my diagnosis that reductivists have their work cut out for them, I find nothing which suggests that the prospects for a successful reductive realism about the normative are in any way diminished-particularly for reductive views about reasons. Even reductivists, I argue, can at least aspire to a realism that is robust.",,,,,
Of Archery and Virtue: Ancient and Modern Conceptions of Value,Jacob Klein,"I argue that comparisons of Stoic virtue to stochastic skills — now standard in the secondary literature on Stoicism — are based on a misreading of the sources and distort the Stoic position in two respects. In paradigmatic stochastic skills such as archery, medicine, or navigation the value of the skill’s external end justifies the existence and practice of the skill and constitutes an appropriate focus of rational motivation. Neither claim applies to virtue as the Stoics understand it. The stochastic model of virtue almost certainly originated with Carneades and should be distinguished clearly from the Stoic account. Doing so clarifies the Stoic position and shows that it anticipates what Thomas Hurka calls a modern view of value.",,,,,
Reid's defense of common sense,P.D. Magnus,"Thomas Reid is often misread as defending common sense, if at all, only by relying on illicit premises about God or our natural faculties. On these theological or reliabilist misreadings, Reid makes common sense assertions where he cannot give arguments. This paper attempts to untangle Reid's defense of common sense by distinguishing four arguments: (a) the argument from madness, (b) the argument from natural faculties, (c) the argument from impotence, and (d) the argument from practical commitment. Of these, (a) and (c) do rely on problematic premises that are no more secure than claims of common sense itself. Yet (b) and (d) do not. This conclusion can be established directly by considering the arguments informally, but one might still worry that there is an implicit premise in them. In order to address this concern, I reconstruct the arguments in the framework of subjective Bayesianism. The worry becomes this: Do the arguments rely on specific values for the prior probability of some premises? Reid's appeals to our prior cognitive and practical commitments do not. Rather than relying on specific probability assignments, they draw on things that are part of the Bayesian framework itself, such as the nature of observation and the connection between belief and action. Contra the theological or reliabilist readings, the defense of common sense does not require indefensible premises.",,,,,
Property Identities and Modal Arguments,Derek Ball,"Physicalists about the mind are committed to claims about property identities. Following Kripke's well-known discussion, modal arguments have emerged as major threats to such claims. This paper argues that modal arguments can be resisted by adopting a counterpart theoretic account of modal claims, and in particular modal claims involving properties. Thus physicalists have a powerful motive to adopt non-Kripkean accounts of the metaphysics of modality and the semantics of modal expressions.",,,,,
Folk Psychology as a Model,Peter Godfrey-Smith,"I argue that everyday folk-psychological skill might best be explained in terms of the deployment of something like a model, in a specific sense drawn from recent philosophy of science. Theoretical models in this sense do not make definite commitments about the systems they are used to understand; they are employed with a particular kind of flexibility. This analysis is used to dissolve the eliminativism debate of the 1980s, and to transform a number of other questions about the status and role of folk psychology.",,,,,
"Stereoscopic Vision: Persons, Freedom, and Two Spaces of Material Inference","Mark Lance, H. Heath White","We discuss first a ""stance"" methodology toward the problem of personhood. This is to ask first, what it is to take something to be a person, and then to move via a notion of appropriateness to an answer to what it is to be a person. We argue that the distinctions between persons and non-persons, between agents and patients, and between subjects and mere objects are deeply connected. All three distinctions are themselves traced to a fundamental distinction within the space of reasons -- between, that is, two sorts of material inferential propriety. These two structures of inference are made explicit by indicative and subjunctive conditionals. Tracing personhood to the fundamentally stereoscopic structure of material inference sheds light not only on notions of freedom, agency, and personhood, but on the nature of modal judgments, on the conceptual space of causation, and on the semantics of the explicitating conditionals. We conclude with a pragmatic argument for belief in persons.",,,,,
Anticipating Failure and Avoiding It,Robert Steel,"I argue for a conciliationist treatment of peer disagreement, on the grounds that the evidence that non-conciliatory theorists point to--the evidence that conciliatory-friendly independence principles would rule out--bears a troubling relation to accuracy. Namely, we can anticipate that trying to respond to it is a bad deal with respect to our expected accuracy. I consequently argue that we shouldn't try to respond to it. Instead we should ignore it, and be conciliationists.",,,,,
Artistic Style as the Expression of Ideals,"Robert Hopkins, Nick Riggle","What is artistic style? In the literature one answer to this question has proved influential: the view that artistic style is the expression of personality. In what follows we elaborate upon and evaluatively compare the two most plausible versions of this view with a new proposal—that style is the expression of the artist’s ideals for her art. We proceed by comparing the views’ answers to certain questions we think a theory of individual artistic style should address: Are there limits on what range of features can figure in a style? Can flaws be stylistic? Are there limits on the range of art forms across which a given style can be exhibited? To what extent is a style a kind of unity, and why? What makes style an artistic achievement? Why do we care about style? By considering the different views' answers to these questions we argue that our proposal is a workable theory of individual style and suggest that it fares better on the whole than both versions of the influential and widely accepted view.",,,,,
Getting Told and Being Believed,Richard Moran,"The paper argues for the centrality of believing the speaker (as distinct from believing the statement) in the epistemology of testimony, and develops a line of thought from Angus Ross which claims that in telling someone something, the kind of reason for belief that a speaker presents is of an essentially different kind from ordinary evidence. Investigating the nature of the audience's dependence on the speaker's free assurance leads to a discussion of Grice's formulation of non-natural meaning in an epistemological light, concentrating on just how the recognition of the speaker's self-reflexive intention is supposed to count for his audience as a reason to believe P. This is understood as the speaker's explicitly assuming responsibility for the truth of his statement, and thereby constituting his utterance as a reason to believe.",,,,,
